Segments,Brands,Export
Refreshment Beverages,"CADBURY BOURNVITA, CADBURY 3-in-1 HOT CHOCOLATE",No
Confectionery,"TOMTOM CLASSIC, TOMTOM STRAWBERRY, BUTTERMINT",No
Intermediate Cocoa Products,"COCOA POWDER, COCOA BUTTER",Yes
